I apologize for the oversight in the numbering and continuity of the Short Answer questions in the previous response. Here is the complete and corrected list of 54 practice short answer questions, covering all necessary topics for your final exam.
Practice Short Answer Questions (54 Questions Total)
Topic 1: ML Introduction, Data, and Preprocessing (12 Questions)
ID
	Topic
	Naïve Bayes classification only works for categorical features and is undefined for numerical features.
	False
	Naïve Bayes can handle continuous features, often by modeling $P(X_k
	T/F 277
	Bayesian Classif.
	The Naïve Bayes assumption states that all features are conditionally independent of the class variable.
	False
	The assumption is that features are conditionally independent given the class.
	T/F 278
	Bayesian Classif.
	The Naïve Bayes assumption allows us to simplify a very hard-to-compute joint probability $P(X_1, \dots, X_n
	C_i)$ into a product of simpler conditional probabilities $\prod P(X_k
	C_i)$.
	T/F 279
	Bayesian Classif.
	To train the Naïve Bayes classifier, we must compute $P(X
	C_i)$ (the joint probability of all features given the class) directly without simplifying assumptions.
	False
	T/F 280
	k-NN
	In k-NN, if we were to pre-compute the decision boundaries for 1-NN, the resulting structure would be a Decision Tree.
	False
	Pre-computing the decision boundaries for 1-NN results in a Voronoi Diagram.
	T/F 281
	Logistic Regression
	Since h
θ
​
(x) is non-linear in Logistic Regression, the decision boundary defined is necessarily non-linear.
	False
	The decision boundary defined by Logistic Regression is linear (derived from θ
T
x>0).
	T/F 282
	Regularization
	L1 regularization is known for being computationally more stable and easier to optimize than L2 regularization due to its smoothness.
	False
	L2 regularization (Ridge) is smooth. L1 regularization (Lasso) involves the absolute value, which is not differentiable at zero, making optimization slightly more complex than L2, though still solvable by convex optimization.
	T/F 283
	k-NN
	If using k-NN for classification, for discrete-valued features, the algorithm returns the mean value among the k nearest neighbors.
	False
	For discrete-valued prediction (classification), k-NN returns the most common value (majority label).
	T/F 284
	k-NN
	In the context of SVD for k-NN dimensionality reduction, the mean of the training data must be subtracted from both training and test data before decomposition or projection.
	True
	The procedure requires centering the data (subtracting the mean) for both train and test sets.
	T/F 285
	Logistic Regression
	In the probabilistic interpretation of linear regression, the term ϵ
(i)
captures only random noise, not unmodeled effects.
	False
	ϵ
(i)
captures both random noise and unmodeled effects (e.g., left out features).
	T/F 286
	Regularization
	The L
2
​
Lasso penalty is replaced by the L
1
​
Ridge penalty in the equivalent Lagrangian form of the Lasso problem.
	False
	The L
2
​
Ridge penalty is replaced by the L
1
​
Lasso penalty.
	T/F 287
	Regularization
	The goal of regularization is to prevent underfitting.
	False
	Regularization is a method for avoiding overfitting.
	T/F 288
	Logistic Regression
	When deriving the log-likelihood for Logistic Regression, the assumption of IID training examples allows the joint likelihood L(θ) to be written as the product of individual probabilities $p(y^{(i)}
	x^{(i)}; \theta)$.
	True
	T/F 289
	k-NN
	The use of k-NN implicitly uses a richer hypothesis space than eager learners, often relying on many local linear functions for approximation.
	True
	Lazy methods (like k-NN) use many local linear functions to form an implicit global approximation, resulting in a richer hypothesis space.
	T/F 290
	Logistic Regression
	For continuous features, Logistic Regression models $P(X_i
	Y = y_k)$ as Gaussian distribution N(μ
ik
​
,σ
ik
​
) and models P(Y) as Bernoulli Ber(π).
	True
	T/F 291
	k-NN
	In distance-weighted k-NN, if a neighbor is exactly zero distance away from the test point, it will have zero influence on the prediction.
	False
	If distance is zero, it should strongly influence the prediction; the weighting typically involves inverse distance, making the influence maximal.
	T/F 292
	Regularization
	Ridge regression results in solutions that are nonlinear in the target variables y
i
​
.
	False
	Lasso solutions are nonlinear in y
i
​
, but Ridge regression has a closed form expression.
	T/F 293
	Regularization
	Both Ridge and Lasso regression primarily shrink coefficients toward zero.
	True
	Ridge shrinks coefficients toward zero (and each other); Lasso drives coefficients exactly to zero (sparsity).
	T/F 294
	k-NN
	The core idea of k-NN is to store the training data and immediately construct a complex decision boundary.
	False
	k-NN is a lazy learner that stores the data and delays processing until classification is needed.
	T/F 295
	Logistic Regression
	Because Logistic Regression maximizes likelihood, the update rule for parameters uses gradient descent with a negative sign.
	False
	Maximizing likelihood requires gradient ascent, using a positive sign in the update rule.
	T/F 296
	k-NN
	Indexing techniques like kd-Trees can be used to accelerate neighborhood search in k-NN, avoiding the need to compare against all neighbors.
	True
	Techniques like kd-Tree can be used to cleverly index data points and avoid comparing against all neighbors.
	T/F 297
	Bayesian Classif.
	The Bayesian Classifier is primarily a discriminative model, learning a boundary separating classes.
	False
	Bayesian methods (like Naïve Bayes) are generative models that learn the distribution of data within each class, $P(X
	T/F 298
	Regularization
	Ridge regression penalizes the Euclidean (L
2
​
) norm of the regression coefficient vector θ.
	True
	Ridge regression penalizes the L
2
​
norm of the coefficient vector.
	T/F 299
	Regularization
	A major benefit of using L1 regularization (Lasso) over L2 regularization (Ridge) is the introduction of sparsity, effectively performing feature selection.
	True
	L1 regularization is more likely to yield exactly zero coefficients, providing sparse solutions.
	T/F 300
	Regularization
	Ridge regression tends to prefer solutions where many coefficients are zero.
	False
	L2 regularization (Ridge) is more likely to give small but non-zero values.
